"Comment","Author","PublishedAt","LikeCount"
"SATANISM/LGBTQİ Olympics 2024","@boshesap135","2024-07-28T08:06:18Z","0"
"Bravo! Great ceremony!","@dinazaitseva6358","2024-07-28T08:05:37Z","1"
"France fallen.","@ny6gj6ci1u","2024-07-28T08:05:09Z","1"
"Sodoma and gommora is here! and I thought eurovision was the worst... 🤦‍♀","@suicide5546","2024-07-28T08:04:51Z","1"
"🤮","@deejaytommmi","2024-07-28T08:04:46Z","0"
"<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=14740"">4:05:40</a> what is a name of the song in the end ?","@aleksejspopovs8573","2024-07-28T08:03:24Z","0"
"For the first time I will not watch the Olympics, I will not support these perversions! Shame on the athletes who support it!","@peterstancek4007","2024-07-28T08:01:40Z","1"
"Worst opening ever that had nothing to do with the Olympics. It was an insult to the games.","@ruirebelo1893","2024-07-28T08:00:14Z","1"
"Demonic..demonic..demonic... !","@ballisticmissileq7310","2024-07-28T07:58:46Z","1"
"London 2012 1 : 0 Paris 2024","@aladur9725","2024-07-28T07:55:48Z","0"
"@<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=6890"">01:54:50</a> i wonder if the very brave and &quot;edgy&quot; producers would be will to mock islam in this manor","@yermanoh","2024-07-28T07:55:09Z","0"
"The opening ceremony is a disgrace! I&#39;m not watching the olympics, just like I stopped watching eurovision ages ago. And I gave no intention to visit france again (won&#39;t miss the arrogant populace anyway). The &#39;collective west&#39; - the self-proclaimed centre of the milky way and beyond - has  revealed once again its moral, ethical, and spueitual degradation. The world sees this!","@wertiopo","2024-07-28T07:53:55Z","1"
"💩merd","@lushincramp9401","2024-07-28T07:53:18Z","0"
"Avrupanın medeniyeti korkunç bir seviyede. buna asla dahil olmak istemiyorum. açlık oyunları filminin gerçek hayatta bir versiyonunu yaşıyoruz. Dünya da savaş bitmiyor. Dünya da açlık bitmiyorum. Spor yapmak güzel bir şey ama böyle değil. Bu şekilde değil. Yıllardır devam eden böyle bir organizasyon neyi değiştirdi? korkunç kostümlü erkek mi kadın mı belli olmayan şeyleri normalleştirmeye çalışıyorlar. Filistin&#39;i unutma.","@busrailhan1261","2024-07-28T07:49:47Z","1"
"Welcome to west Europe home of fraks.","@GhostPhoenix111","2024-07-28T07:49:44Z","0"
"The best show ever ! Big like !","@iuliandragomir6174","2024-07-28T07:48:45Z","0"
"Guys why is everyone mad in the comments, can someone explain 😅","@elizabethbaddie4025","2024-07-28T07:46:00Z","0"
"This is the new episode of the Hunger Games? XD","@AdolfinaVanRoy","2024-07-28T07:45:20Z","1"
"Disliked and reported.","@CptSlow89","2024-07-28T07:44:49Z","0"
"blasphemy","@totalice734","2024-07-28T07:44:26Z","0"
"Phenomenal!","@MrDarkmaster","2024-07-28T07:44:06Z","0"
"I hope the world will disappear soon","@Ernest-Khalimov.","2024-07-28T07:43:16Z","1"
"A shame that this conservative broadcast doesn&#39;t acknowledge the precedent of drag performances at the Olympics","@trflanagan","2024-07-28T07:41:49Z","0"
"<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=8275"">2:17:55</a>  türkiye geçişi 🇹🇷","@enbasarl4723","2024-07-28T07:41:42Z","0"
"It made me sick, most of the time I thought I will vomit. What a garbage. France showed the world they want to be communistic and they are living through Marks rules. What a pathetic show, what a disgrace for Olympics.","@tomchester3229","2024-07-28T07:40:31Z","2"
"🤮🤮🤮👎👎👎👎","@narimanmammadov2192","2024-07-28T07:39:54Z","1"
"Do czego ten świat zmierza..a ludzie biją brawo masakraaaa","@user-gb4fn8js4p","2024-07-28T07:38:59Z","1"
"Իսկ վրացիները ինչու՞ են հայկական Կիլիկիայի դրոշը ծածանում։","@nmh6124","2024-07-28T07:38:57Z","0"
"This is so bad. London 2012 was epic. This is to much WOKE. Disgusting","@simonloof3536","2024-07-28T07:38:27Z","2"
"A co tam robi pocisk artylerii???","@Anna-um6mw","2024-07-28T07:38:04Z","0"
"Nicee","@MrDarkmaster","2024-07-28T07:36:48Z","0"
"This brings disgrace on all European values. Sending hate from Europe!","@Go4omir","2024-07-28T07:36:42Z","0"
"freak LGBT show XDDDDD","@Podgarok","2024-07-28T07:36:39Z","1"
"perverz","@Istvan999","2024-07-28T07:34:34Z","1"
"Reject modernity Embrace Masculinity. God Damn MF MODERNITY. It tries to make us weak. Wake Up Brothers and sisters.","@ahmetakpnar8725","2024-07-28T07:34:31Z","1"
"Has France learnt nothing? What a horror!","@elle262","2024-07-28T07:34:16Z","1"
"What a shame.... Its all not about sport anymore... Freak show","@shu-b3","2024-07-28T07:29:28Z","2"
"Jakies totalne bezguscie, dno","@kolavor","2024-07-28T07:28:41Z","0"
"If there was something I loved about the opening ceremony of the Olympics more than anything else, it was the popular spirit that was breathed into it like the best spirit of the French Revolution. Not a ceremony closed to the privileged and wealthy of the people, but a ceremony open to everyone where you can also watch from the roofs of the houses, from the banks of the river<br>The wealth and beauty of Paris was the perfect setting for such a ceremony. Not every city in the world can afford this luxury.","@amirlavie","2024-07-28T07:27:55Z","11"
"Ugliness is over represented in this event 🙄","@sergiomesquitarocha8018","2024-07-28T07:27:34Z","0"
"Ew. What a disgrace","@Warlock561","2024-07-28T07:27:29Z","1"
"58 րոպեյի երգչուհին շատ վատն էր, կոպիտ, գռեհիկ, վուլգար, տգեղ։ Ուրիշ երգչուհի չկա՞ր, մարդկանց ճաշակը էդպես դեգրադացնում եք։ Բա Ֆրանսիային սազու՞մ է էդպիսի անճաշակություն։","@nmh6124","2024-07-28T07:27:13Z","1"
"Worst opening in history 😂","@animavestra1589","2024-07-28T07:26:52Z","2"
"Poor Greek god Dionis had never been  insulted so badly since Creation😅😅","@gunelbabayeva5925","2024-07-28T07:25:42Z","21"
"Shame on you","@user-xu4gl5ni5u","2024-07-28T07:24:13Z","1"
"an incredible mess!!!! shame on you, France!","@gabrielaman4720","2024-07-28T07:22:10Z","1"
"This is a parade of perverts!The worst of the deranged minds of the organizers is the mockery of the Last Supper and Jesus!","@Daisy0808","2024-07-28T07:21:28Z","1"
"The more concerning part is that a lot of people actually liked and enjoyed that","@folev_333","2024-07-28T07:19:15Z","5"
"Shame on the Olympic Board! Shame for mocking Christians, moking Christianity and mocking Davinci&#39;s work! Not to mention all the demonic innuoendos throughout the ceremony! God bless Christians and those of good faith!<br>We deserve an apology!","@erjebetherdevary9104","2024-07-28T07:19:04Z","1"
"Странное послевкусие осталось","@allarymaszewska9895","2024-07-28T07:17:31Z","1"
"Очень красиво. Браво🎉","@user-ue6zb1wy2d","2024-07-28T07:16:26Z","0"
"very hard watch as always, France","@matejhantabal235","2024-07-28T07:16:20Z","0"
"At <a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=9538"">2:38:58</a> the gay guy with the black shorts (2nd from left to right) you can clearly see his balls sticking out. Disgusting!","@fichonn","2024-07-28T07:14:31Z","2"
